case_id,dice,num_component_boxes,gt_area,pred_area
,0.8882330060005188,1,4135,3658
,0.8588922023773193,1,3886,3137
,0.6816713809967041,1,6426,3482
,0.9000438451766968,1,4748,4376
,0.9135802388191223,1,1654,1505
,0.8419507741928101,1,29759,24066
,0.8213803768157959,1,14591,11358
,0.8698720932006836,1,4721,4347
,0.8896004557609558,1,29233,24481
,0.8410372138023376,1,3536,2673
,0.7468823790550232,1,7359,4509
,0.8711140155792236,1,1454,1634
,0.8136793375015259,6,60390,46399
,0.897310733795166,1,37317,32739
,0.7325966954231262,1,1137,673
,0.9044350385665894,1,25762,22896
,0.7608919739723206,1,39092,24005
,0.7133479118347168,1,1470,815
,0.9422294497489929,1,5150,4682
,0.8167308568954468,1,897,920
,0.6732673048973083,1,3243,1807
,0.8507029414176941,1,4853,4109
,0.7245063781738281,2,10982,6238
,0.7171980738639832,1,33954,21180
,0.7942973375320435,1,1056,908
,0.8089761734008789,1,1537,2028
